Name,Type,Grade,Address,City,Zipcode,County,School District
Ashley Elementary,Public,"""3-5""",810 Trainer Drive,Fayetteville,28304,Cumberland County,Cumberland County Schools
Brentwood Elementary,Public,"""PK, KG-5""",1115 Bingham Drive,Fayetteville,28304,Cumberland County,Cumberland County Schools
Douglas Byrd Middle,Public,"""6-8""",1616 Ireland Drive,Fayetteville,28304,Cumberland County,Cumberland County Schools
Douglas Byrd High,Public,"""9-12""",1624 Ireland Drive,Fayetteville,28304,Cumberland County,Cumberland County Schools
Cape Fear High,Public,"""9-12""",4762 Clinton Road,Fayetteville,28312,Cumberland County,Cumberland County Schools
Elizabeth M Cashwell Elementary,Public,"""PK, KG-5""",2970 Legion Road,Fayetteville,28306,Cumberland County,Cumberland County Schools
Anne Chesnutt Middle,Public,"""6-8""",2121 Skibo Road,Fayetteville,28314,Cumberland County,Cumberland County Schools
Cliffdale Elementary,Public,"""PK, KG-5""",6450 Cliffdale Road,Fayetteville,28314,Cumberland County,Cumberland County Schools
College Lakes Elementary,Public,"""K-5""",4963 Rosehill Road,Fayetteville,28311,Cumberland County,Cumberland County Schools
J W Coon Elementary,Public,"""PK, KG-5""",905 Hope Mills Road,Fayetteville,28304,Cumberland County,Cumberland County Schools
Cumberland Mills Elementary,Public,"""PK, KG-5""",2576 Hope Mills Road,Fayetteville,28306,Cumberland County,Cumberland County Schools
Cumberland Road Elementary,Public,"""PK, KG-5""",2700 Cumberland Road,Fayetteville,28306,Cumberland County,Cumberland County Schools
Alderman Road Elementary,Public,"""PK, KG-5""",2860 Alderman Road,Fayetteville,28306,Cumberland County,Cumberland County Schools
Lewis Chapel Middle,Public,"""6-8""",2150 Skibo Road,Fayetteville,28314,Cumberland County,Cumberland County Schools
Long Hill Elementary,Public,"""2-5""",6490 Ramsey Street,Fayetteville,28311,Cumberland County,Cumberland County Schools
Massey Hill Classical High,Public,"""9-12""",1062 Southern Avenue,Fayetteville,28306,Cumberland County,Cumberland County Schools
Mary McArthur Elementary,Public,"""PK, KG-5""",3809 Village Drive,Fayetteville,28304,Cumberland County,Cumberland County Schools
Montclair Elementary,Public,"""PK, KG-5""",555 Glensford Drive,Fayetteville,28314,Cumberland County,Cumberland County Schools
Morganton Road Elementary,Public,"""K-5""",102 Bonanza Drive,Fayetteville,28303,Cumberland County,Cumberland County Schools
Pine Forest Middle,Public,"""6-8""",6901 Ramsey Street,Fayetteville,28311,Cumberland County,Cumberland County Schools
Pine Forest High,Public,"""9-12""",525 Andrews Road,Fayetteville,28311,Cumberland County,Cumberland County Schools
Ponderosa Elementary,Public,"""PK, KG-5""",311 Bonanza Drive,Fayetteville,28303,Cumberland County,Cumberland County Schools
Benjamin J Martin Elementary,Public,"""PK, KG-5""",430 N Reilly Road,Fayetteville,28303,Cumberland County,Cumberland County Schools
J W Seabrook Elementary,Public,"""PK, KG-5""",4619 NC Hwy 210 South,Fayetteville,28312,Cumberland County,Cumberland County Schools
Seventy-First High,Public,"""9-12""",6764 Raeford Road,Fayetteville,28304,Cumberland County,Cumberland County Schools
Sherwood Park Elementary,Public,"""PK, KG-5""",2115 Hope Mills Road,Fayetteville,28304,Cumberland County,Cumberland County Schools
Sunnyside Elementary,Public,"""K-5""",3876 Sunnyside School Road,Fayetteville,28312,Cumberland County,Cumberland County Schools
Warrenwood Elementary,Public,"""PK, KG-5""",4618 Rosehill Road,Fayetteville,28311,Cumberland County,Cumberland County Schools
Westarea Elementary,Public,"""PK, KG-5""",941 Country Club Drive,Fayetteville,28301,Cumberland County,Cumberland County Schools
Westover Middle,Public,"""6-8""",275 Bonanza Drive,Fayetteville,28303,Cumberland County,Cumberland County Schools
Westover High,Public,"""9-12""",277 Bonanza Drive,Fayetteville,28303,Cumberland County,Cumberland County Schools
William H Owen Elementary,Public,"""PK, KG-5""",4533 Raeford Road,Fayetteville,28304,Cumberland County,Cumberland County Schools
Bill Hefner Elementary,Public,"""PK, KG-5""",7059 Calamar Drive,Fayetteville,28314,Cumberland County,Cumberland County Schools
E Melvin Honeycutt Elementary,Public,"""K-5""",4665 Lakewood Drive,Fayetteville,28306,Cumberland County,Cumberland County Schools
Mac Williams Middle,Public,"""6-8""",4644 Clinton Road,Fayetteville,28312,Cumberland County,Cumberland County Schools
Seventy-First Classical Middle,Public,"""6-8""",6830 Raeford Road,Fayetteville,28304,Cumberland County,Cumberland County Schools
Howard Learning Academy,Public,"""5-8""",1608 Camden Road,Fayetteville,28306,Cumberland County,Cumberland County Schools
Alma O Easom Elementary,Public,"""K-1""",1610 Westlawn Avenue,Fayetteville,28305,Cumberland County,Cumberland County Schools
Loyd E Auman Elementary,Public,"""PK, KG-5""",6882 Raeford Road,Fayetteville,28304,Cumberland County,Cumberland County Schools
Luther Nick Jeralds Middle,Public,"""6-8""",2517 Ramsey Street,Fayetteville,28301,Cumberland County,Cumberland County Schools
E E Smith High,Public,"""9-12""",1800 Seabrook Road,Fayetteville,28301,Cumberland County,Cumberland County Schools
Ferguson-Easley Elementary,Public,"""K-5""",1857 Seabrook Road,Fayetteville,28301,Cumberland County,Cumberland County Schools
Glendale Acres Elementary,Public,"""PK, KG-2""",2915 Skycrest Drive,Fayetteville,28304,Cumberland County,Cumberland County Schools
R Max Abbott Middle,Public,"""6-8""",590 Winding Creek Road,Fayetteville,28305,Cumberland County,Cumberland County Schools
Howard L Hall Elementary,Public,"""K-5""",526 Andrews Road,Fayetteville,28311,Cumberland County,Cumberland County Schools
Lucile Souders Elementary,Public,"""PK, KG-5""",128 Hillview Avenue,Fayetteville,28301,Cumberland County,Cumberland County Schools
Margaret Willis Elementary,Public,"""PK, KG-5""",1412 Belvedere Avenue,Fayetteville,28305,Cumberland County,Cumberland County Schools
Walker-Spivey Elementary,Public,"""K-5""",500 Fisher Street,Fayetteville,28301,Cumberland County,Cumberland County Schools
Reid Ross Classical High,Public,"""9-12""",3200 Ramsey Street,Fayetteville,28301,Cumberland County,Cumberland County Schools
Teresa C Berrien Elementary,Public,"""K-5""",800 North Street,Fayetteville,28301,Cumberland County,Cumberland County Schools
Terry Sanford High,Public,"""9-12""",2301 Fort Bragg Road,Fayetteville,28303,Cumberland County,Cumberland County Schools
Vanstory Hills Elementary,Public,"""2-5""",400 Foxhall Road,Fayetteville,28303,Cumberland County,Cumberland County Schools
Ramsey Street High,Public,"""9-12""",117 Quincy St,Fayetteville,28301,Cumberland County,Cumberland County Schools
E E Miller Elementary,Public,"""PK, KG-5""",1361 Rim Road,Fayetteville,28314,Cumberland County,Cumberland County Schools
John R Griffin Middle,Public,"""6-8""",5551 Fisher Road,Fayetteville,28304,Cumberland County,Cumberland County Schools
Ireland Drive Middle,Public,"""6-8""",1606 Ireland Drive,Fayetteville,28304,Cumberland County,Cumberland County Schools
Jack Britt High,Public,"""9-12""",7403 Rockfish Road,Fayetteville,28306,Cumberland County,Cumberland County Schools
Lake Rim Elementary,Public,"""PK, KG-5""",1455 Hoke Loop Road,Fayetteville,28314,Cumberland County,Cumberland County Schools
Stoney Point Elementary,Public,"""K-5""",7411 Rockfish Road,Fayetteville,28306,Cumberland County,Cumberland County Schools
Cross Creek Early College,Public,"""9-12""",1200 Murchison Road,Fayetteville,28301,Cumberland County,Cumberland County Schools
Cumberland Polytechnic,Public,"""9-12""",2201 Hull Rd,Fayetteville,28303,Cumberland County,Cumberland County Schools
Alger B. Wilkins High School,Public,"""9-12""",1429 Skibo Road,Fayetteville,28303,Cumberland County,Cumberland County Schools
New Century International Elementary,Public,"""PK, KG-5""",7465 Century Circle,Fayetteville,28306,Cumberland County,Cumberland County Schools
Cumberland International Early College,Public,"""9-12""",1200 Murchison Rd,Fayetteville,28301,Cumberland County,Cumberland County Schools
Reid Ross Classical Middle,Public,"""6-8""",3200 Ramsey Street,Fayetteville,28301,Cumberland County,Cumberland County Schools
New Century International Middle,Public,"""6-8""",7455 Century Circle,Fayetteville,28306,Cumberland County,Cumberland County Schools
Cumberland Academy 6-12 Virtual School,"Public, Virtual","""6-12""",396 Elementary Drive,Fayetteville,28301,Cumberland County,Cumberland County Schools
Cumberland Academy K-5 Virtual School,"Public, Virtual","""K-5""",396 Elementary Drive,Fayetteville,28301,Cumberland County,Cumberland County Schools
Alpha Academy,"Public, Charter, Alternative","""K-12""",8030 Raeford Road,Fayetteville,28304,Cumberland County,Alpha Academy
The Capitol Encore Academy,"Public, Virtual, Charter","""K-8""",126 Hay Street,Fayetteville,28301,Cumberland County,The Capitol Encore Academy
